Villandro comune,Villandro comune.1
(IT) Villandro (DE) Villanders,(IT) Villandro (DE) Villanders
,
Villandro – VedutaVeduta da nordest,Villandro – VedutaVeduta da nordest
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Walter Baumgartner (SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°37′58.56″N 11°32′24.36″E
Altitudine,880 m s.l.m.
Superficie,"43,95 km²"
Abitanti,1 873[1] (30-11-2025)
Densità,"42,62 ab./km²"
Frazioni,"San Maurizio/St. Moritz, Santo Stefano/St. Stefan (sede comunale), San Valentino/St. Valentin[2]"
Comuni confinanti,"Barbiano, Chiusa, Laion, Renon, Sarentino"
Altre informazioni,Altre informazioni
Cod. postale,39043
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021114
Cod. catastale,L971
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 826 GG[4]"
Nome abitanti,(IT) villandresi (DE) Villanderer[5]
Cartografia,Cartografia
Villandro,Villandro
Villandro – MappaPosizione del comune di Villandro nella provincia autonoma di Bolzano,Villandro – MappaPosizione del comune di Villandro nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
