Caines comune,Caines comune.1
(IT) Caines (DE) Kuens,(IT) Caines (DE) Kuens
,
Caines – Veduta,Caines – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Manfred Walter Raffl (SVP) dal 10-5-2015 (2º mandato dal 22-9-2020)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°41′58.13″N 11°10′10.15″E
Altitudine,592 m s.l.m.
Superficie,"1,63 km²"
Abitanti,386[1] (30-11-2025)
Densità,"236,81 ab./km²"
Comuni confinanti,"Rifiano, Scena, Tirolo"
Altre informazioni,Altre informazioni
Cod. postale,39010
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021014
Cod. catastale,B364
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 304 GG[3]"
Nome abitanti,(IT) cainesi (DE) Kuensner[4]
Cartografia,Cartografia
Caines,Caines
Caines – MappaPosizione del comune di Caines nella provincia autonoma di Bolzano,Caines – MappaPosizione del comune di Caines nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
