Merano comune,Merano comune.1
(IT) Comune di Merano (DE) Stadtgemeinde Meran,(IT) Comune di Merano (DE) Stadtgemeinde Meran
,
Merano – Veduta,Merano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,"Katharina Zeller (SVP-Lista civica ""Merano Coraggiosa"") dal 18-05-2025"
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°40′10.4″N 11°09′33.91″E
Altitudine,325 m s.l.m.
Superficie,"26,34 km²"
Abitanti,41 656[1] (30-11-2025)
Densità,"1 581,47 ab./km²"
Frazioni,"Maia Alta (Obermais), Maia Bassa (Untermais), Quarazze (Gratsch), Sinigo (Sinich), Labers"
Comuni confinanti,"Avelengo, Cermes, Lagundo, Lana, Marlengo, Postal, Scena, Tirolo, Verano"
Altre informazioni,Altre informazioni
Cod. postale,39012
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021051
Cod. catastale,F132
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 863 GG[3]"
Nome abitanti,(IT) meranesi (DE) Meraner[4]
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Merano,Merano
Merano – MappaPosizione del comune di Merano nella provincia autonoma di Bolzano,Merano – MappaPosizione del comune di Merano nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
