Senale-San Felice comune,Senale-San Felice comune.1
(IT) Senale-San Felice (DE) Unsere Liebe Frau im Walde-St. Felix,(IT) Senale-San Felice (DE) Unsere Liebe Frau im Walde-St. Felix
,
Senale-San Felice – VedutaSenale,Senale-San Felice – VedutaSenale
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Gabriela Kofler (SVP) dal 12-6-2017 (3º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Data di istituzione,1974
Territorio,Territorio
Coordinate,46°29′32.31″N 11°07′48.75″E
Altitudine,1 279 m s.l.m.
Superficie,"27,63 km²"
Abitanti,814[1] (30-11-2025)
Densità,"29,46 ab./km²"
Frazioni,"San Felice/St. Felix (sede comunale), Senale/Unsere Liebe Frau im Walde[2]"
Comuni confinanti,"Appiano sulla Strada del Vino, Borgo d'Anaunia (TN), Nalles, San Pancrazio, Tesimo"
Altre informazioni,Altre informazioni
Cod. postale,39010
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,021118
Cod. catastale,I603
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 401 GG[4]"
Nome abitanti,"(IT) senalesi (DE) Walder, Berger[5]"
Cartografia,Cartografia
Senale-San Felice,Senale-San Felice
Senale-San Felice – MappaPosizione del comune di Senale-San Felice nella provincia autonoma di Bolzano,Senale-San Felice – MappaPosizione del comune di Senale-San Felice nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
