Ozzano dell'Emilia comune,Ozzano dell'Emilia comune.1
,
Ozzano dell'Emilia – Veduta,Ozzano dell'Emilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Luca Lelli (lista civica di centro-sinistra Progetto Ozzano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°27′N 11°29′E
Altitudine,67 m s.l.m.
Superficie,"64,95 km²"
Abitanti,14 403[1] (30-11-2025)
Densità,"221,76 ab./km²"
Frazioni,"Ciagnano, Le Armi, Maggio, Mercatale, La Noce, Osteria Nuova, Ponte Rizzoli, Quaderna, San Pietro, Sant'Andrea, Settefonti, Tolara"
Comuni confinanti,"Budrio, Castel San Pietro Terme, Castenaso, Medicina, Monterenzio, Pianoro, San Lazzaro di Savena"
Altre informazioni,Altre informazioni
Cod. postale,40064
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037046
Cod. catastale,G205
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 252 GG[3]"
Nome abitanti,ozzanesi
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Ozzano dell'Emilia,Ozzano dell'Emilia
Ozzano dell'Emilia – MappaPosizione del comune di Ozzano dell'Emilia nella città metropolitana di Bologna,Ozzano dell'Emilia – MappaPosizione del comune di Ozzano dell'Emilia nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
