Minerbio comune,Minerbio comune.1
,
Minerbio – VedutaL'oratorio della Natività e il palazzo Municipale,Minerbio – VedutaL'oratorio della Natività e il palazzo Municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Roberta Bonori (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,44°37′03″N 11°28′18″E
Altitudine,16 m s.l.m.
Superficie,"43,07 km²"
Abitanti,8 964[1] (30-11-2025)
Densità,"208,13 ab./km²"
Frazioni,"Ca' De' Fabbri, Capo d'Argine, San Giovanni in Triario, San Martino in Soverzano (o dei Manzoli), Spettoleria, Tintoria"
Comuni confinanti,"Baricella, Bentivoglio, Budrio, Granarolo dell'Emilia, Malalbergo"
Altre informazioni,Altre informazioni
Cod. postale,40061
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037038
Cod. catastale,F219
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 291 GG[3]"
Nome abitanti,minerbiesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Minerbio,Minerbio
Minerbio – MappaPosizione del comune di Minerbio nella città metropolitana di Bologna,Minerbio – MappaPosizione del comune di Minerbio nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
