Alto Reno Terme comune,Alto Reno Terme comune.1
,
Alto Reno Terme – VedutaVeduta di Biagioni,Alto Reno Terme – VedutaVeduta di Biagioni
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Giuseppe Nanni (lista civica Centro sinistra e cittadini indipendenti) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,44°09′37″N 10°58′24″E
Altitudine,349 m s.l.m.
Superficie,"73,64 km²"
Abitanti,7 169[1] (30-11-2025)
Densità,"97,35 ab./km²"
Frazioni,"Biagioni, Borgo Capanne, Capugnano, Casa Calistri, Casa Forlai, Castelluccio, Corvella, Granaglione, Lustrola, Madognana, Molino del Pallone, Ponte della Venturina, Porretta Terme (sede comunale), Sambucedro, Vizzero"
Comuni confinanti,"Castel di Casio, Gaggio Montano, Lizzano in Belvedere, Pistoia (PT), Sambuca Pistoiese (PT)"
Altre informazioni,Altre informazioni
Cod. postale,40046
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037062
Cod. catastale,M369
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,"porrettani, granaglionesi o altorenani"
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Alto Reno Terme,Alto Reno Terme
Alto Reno Terme – MappaLocalizzazione del comune di Alto Reno Terme nella città metropolitana di Bologna,Alto Reno Terme – MappaLocalizzazione del comune di Alto Reno Terme nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
