Piana Crixia comune,Piana Crixia comune.1
,
"Piana Crixia – VedutaIl ""fungo"" di pietra","Piana Crixia – VedutaIl ""fungo"" di pietra"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Massimo Tappa (lista civica di centro-destra Insieme per Piana) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°29′07.34″N 8°18′27.11″E
Altitudine,267 m s.l.m.
Superficie,"30,45 km²"
Abitanti,753[1] (30-11-2025)
Densità,"24,73 ab./km²"
Frazioni,"Borgo, Cheilini, Lodisio, Molino (sede comunale), Praie, San Massimo, Pareta, Pontevecchio, Porri, Villa"
Comuni confinanti,"Castelletto Uzzone (CN), Dego, Merana (AL), Pezzolo Valle Uzzone (CN), Serole (AT), Spigno Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,17058
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009048
Cod. catastale,G542
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 996 GG[3]"
Nome abitanti,pianesi
Patrono,"santi Martiri Eugenio, Vittore e Corona"
Giorno festivo,24 aprile
Cartografia,Cartografia
Piana Crixia,Piana Crixia
Piana Crixia – MappaPosizione del comune di Piana Crixia nella provincia di Savona,Piana Crixia – MappaPosizione del comune di Piana Crixia nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
