Torricella in Sabina comune,Torricella in Sabina comune.1
,
Torricella in Sabina – Veduta,Torricella in Sabina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Floriana Broccoletti (lista civica Progetto comune) dal 27-5-2019
Territorio,Territorio
Coordinate,42°15′43″N 12°52′11″E
Altitudine,615 m s.l.m.
Superficie,"25,79 km²"
Abitanti,1 284[1] (30-11-2025)
Densità,"49,79 ab./km²"
Frazioni,"Oliveto Sabino, Ornaro Alto, Ornaro Basso"
Comuni confinanti,"Belmonte in Sabina, Casaprota, Monteleone Sabino, Montenero Sabino, Poggio Moiano, Poggio San Lorenzo, Rieti, Rocca Sinibalda"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057069
Cod. catastale,L293
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Patrono,"san Giovanni Battista (Torricella Sabina), sant'Antonino Martire (Ornaro Alto), Immacolata Concezione (Ornaro Basso)"
Giorno festivo,24 giugno e 29 agosto
Cartografia,Cartografia
Torricella in Sabina,Torricella in Sabina
Torricella in Sabina – MappaPosizione del comune di Torricella in Sabina nella provincia di Rieti,Torricella in Sabina – MappaPosizione del comune di Torricella in Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
