Cantalice comune,Cantalice comune.1
,
Cantalice – Veduta,Cantalice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Gianluca Leoni (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°28′N 12°54′E
Altitudine,660 m s.l.m.
Superficie,"37,62 km²"
Abitanti,2 401[1] (30-11-2025)
Densità,"63,82 ab./km²"
Frazioni,"Capolaterra, Case Strinati, Cazzocchia, Civitella, Collemare, Colli, Cruciano, Fantauzzi, Gli Osti, Lasca, Pecce, Porzia, San Liberato, Santa Croce, Santa Margherita"
Comuni confinanti,"Leonessa, Micigliano, Poggio Bustone, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02014
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057009
Cod. catastale,B627
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 566 GG[3]"
Nome abitanti,cantaliciani
Patrono,san Felice da Cantalice
Giorno festivo,18 maggio
Cartografia,Cartografia
Cantalice,Cantalice
Cantalice – MappaPosizione del comune di Cantalice nella provincia di Rieti,Cantalice – MappaPosizione del comune di Cantalice nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
