Scigliano comune,Scigliano comune.1
,
Scigliano – Veduta,Scigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Raffaele Pane (lista civica Scigliano Unita nella continuità) dal 26-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,39°08′N 16°18′E
Altitudine,659 m s.l.m.
Superficie,"17,46 km²"
Abitanti,1 099[1] (30-11-2025)
Densità,"62,94 ab./km²"
Frazioni,"Agrifoglio, Calvisi, Celsita, Cupani, Diano, Lupia, Petrisi, Serra, Traversa"
Comuni confinanti,"Altilia, Carpanzano, Colosimi, Pedivigliano"
Altre informazioni,Altre informazioni
Cod. postale,87057
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078139
Cod. catastale,D290
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sciglianesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Scigliano,Scigliano
Scigliano – MappaPosizione del comune di Scigliano all'interno della provincia di Cosenza,Scigliano – MappaPosizione del comune di Scigliano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
