San Basile comune,San Basile comune.1
,
San Basile – VedutaChiesa di San Giovanni Battista,San Basile – VedutaChiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Filippo Quinto Tocci (Radici per San Basile) dal 10-6-2024
Territorio,Territorio
Coordinate,39°48′34.56″N 16°09′47.81″E
Altitudine,540[1] m s.l.m.
Superficie,"18,67 km²"
Abitanti,886[2] (30-11-2025)
Densità,"47,46 ab./km²"
Comuni confinanti,"Castrovillari, Morano Calabro, Saracena"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078111
Cod. catastale,H765
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,(IT) sambasilesi (AAE) Shënvasilotë
Patrono,San Giovanni Battista e Santa Maria Odigitria
Giorno festivo,"25 maggio, martedì dopo la Pentecoste"
Cartografia,Cartografia
San Basile,San Basile
San Basile – MappaPosizione del comune di San Basile nella provincia di Cosenza,San Basile – MappaPosizione del comune di San Basile nella provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
