Corigliano-Rossano comune,Corigliano-Rossano comune.1
,
"Corigliano-Rossano – VedutaVista panoramica dal castello di Corigliano, 2021","Corigliano-Rossano – VedutaVista panoramica dal castello di Corigliano, 2021"
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Flavio Stasi (EV) dal 12-6-2019 (2º mandato dal 22-6-2024)
Data di istituzione,31 marzo 2018
Territorio,Territorio
Coordinate,39°35′01.67″N 16°34′35.33″E
Altitudine,210 m s.l.m.
Superficie,"346,41 km²"
Abitanti,74 413[1] (30-11-2025)
Densità,"214,81 ab./km²"
Frazioni,"Amica, Apollinara, Baraccone, Boscarello, Cantinella, Celadi, Ceradonna, Ciminata, Contrada Amarelli, Corigliano Calabro, Costa, Fabrizio Grande, Fabrizio Piccolo, Farneto, Fermata Toscano, Forello, Fossa, Frasso, Giannone, Insiti, Lido Sant’Angelo, Mandria del Forno, Mezzofato, Ministalla, Momena, Oliveto Longo, Parco dei Principi, Pirro Malena, Piscopello, Petraro, Petra, Piana Caruso, Piana dei Venti, Piragineti, Ricota Grande, Rossano, Salici, San Nico, Santa Lucia, Santa Maria delle Grazie, Scalo, Schiavonea, Seggio, Simonetti, Thurii, Torricella Superiore, Torricella Inferiore, Torre Pinta, Toscano Ioele, Varia dei Franchi, Villaggio Frassa"
Comuni confinanti,"Acri, Calopezzati, Cassano all'Ionio, Crosia, Cropalati, Longobucco, Paludi, San Cosmo Albanese, San Demetrio Corone, San Giorgio Albanese, Spezzano Albanese, Tarsia, Terranova da Sibari"
Altre informazioni,Altre informazioni
Cod. postale,87064[2]
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078157
Cod. catastale,M403
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,"coriglianesi, rossanesi"
Patrono,San Francesco di Paola San Nilo da Rossano
Giorno festivo,Rispettivamente: 2 aprile 26 settembre
Cartografia,Cartografia
Corigliano-Rossano,Corigliano-Rossano
Corigliano-Rossano – MappaPosizione del comune di Corigliano-Rossano all'interno della provincia di Cosenza,Corigliano-Rossano – MappaPosizione del comune di Corigliano-Rossano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
