Firmo comune,Firmo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Bosco (lista civica Lista popolare Giglio) dal 26-5-2019
Territorio,Territorio
Coordinate,39°43′N 16°10′E
Altitudine,370 m s.l.m.
Superficie,"11,7 km²"
Abitanti,1 763[1] (30-11-2025)
Densità,"150,68 ab./km²"
Comuni confinanti,"Altomonte, Lungro, Saracena"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078054
Cod. catastale,D614
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,firmensi; fermëniot in arbëresh
Patrono,sant'Atanasio
Cartografia,Cartografia
Firmo,Firmo
Firmo – MappaPosizione del comune di Firmo all'interno della provincia di Cosenza,Firmo – MappaPosizione del comune di Firmo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
