Fratte Rosa comune,Fratte Rosa comune.1
,
Fratte Rosa – Veduta,Fratte Rosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Marzio Massi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°37′55.56″N 12°54′04.21″E
Altitudine,419 m s.l.m.
Superficie,"15,63 km²"
Abitanti,817[1] (30-11-2025)
Densità,"52,27 ab./km²"
Frazioni,"Convento Santa Vittoria, Torre San Marco"
Comuni confinanti,"Fossombrone, Mondavio, Pergola, San Lorenzo in Campo, Sant'Ippolito, Terre Roveresche"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041016
Cod. catastale,D791
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 411 GG[3]"
Nome abitanti,frattesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Fratte Rosa,Fratte Rosa
Fratte Rosa – MappaPosizione del comune di Fratte Rosa nella provincia di Pesaro e Urbino,Fratte Rosa – MappaPosizione del comune di Fratte Rosa nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
