Gradara comune,Gradara comune.1
,
Gradara – VedutaVeduta del borgo murato dominato dal castello.,Gradara – VedutaVeduta del borgo murato dominato dal castello.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Filippo Gasperi (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°56′19.92″N 12°46′16.51″E
Altitudine,142 m s.l.m.
Superficie,"17,53 km²"
Abitanti,4 892[1] (30-11-2025)
Densità,"279,06 ab./km²"
Frazioni,"Fanano, Fanano Massignano, Granarola, Pievevecchia, Santo Stefano"
Comuni confinanti,"Gabicce Mare, Cattolica (RN), Pesaro, San Giovanni in Marignano (RN), Tavullia"
Altre informazioni,Altre informazioni
Cod. postale,61012
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,041020
Cod. catastale,E122
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 186 GG[3]"
Nome abitanti,gradaresi
Patrono,Terenzio di Pesaro
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Gradara,Gradara
Gradara – MappaPosizione del comune di Gradara nella provincia di Pesaro e Urbino,Gradara – MappaPosizione del comune di Gradara nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
