Penna Sant'Andrea comune,Penna Sant'Andrea comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Nicola Salini (lista civica di centro-sinistra Consenso comune) dal 10-6-2024
Territorio,Territorio
Coordinate,42°36′N 13°46′E
Altitudine,413 m s.l.m.
Superficie,"11,1 km²"
Abitanti,1 628[1] (30-11-2025)
Densità,"146,67 ab./km²"
Frazioni,"Capsano, Pilone, Val Vomano, Trinità"
Comuni confinanti,"Basciano, Castel Castagna, Cermignano, Teramo"
Altre informazioni,Altre informazioni
Cod. postale,64039
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067033
Cod. catastale,G437
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 081 GG[3]"
Nome abitanti,"pennesi, iaioni, pundarule"
Patrono,san Rocco
Cartografia,Cartografia
Penna Sant'Andrea,Penna Sant'Andrea
Penna Sant'Andrea – MappaPosizione del comune di Penna Sant'Andrea all'interno della provincia di Teramo,Penna Sant'Andrea – MappaPosizione del comune di Penna Sant'Andrea all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
