Basciano comune,Basciano comune.1
,
Basciano – Veduta,Basciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Alessandro Frattaroli (lista civica Uniti per Basciano) dal 5-6-2016
Territorio,Territorio
Coordinate,42°35′47″N 13°44′08.2″E
Altitudine,388 m s.l.m.
Superficie,"18,85 km²"
Abitanti,2 309[1] (30-11-2025)
Densità,"122,49 ab./km²"
Frazioni,"Feudo da Borea, Feudo da Sole, San Rustico, Sant'Agostino, Santa Maria, Tomolati, Pantane, Sbaragli, Pian Mulino, Zampitto, Villa Portone, Villa Frio, Villa Ginestre, Cretone, Villa Guidotti, Vallone"
Comuni confinanti,"Castel Castagna, Colledara, Montorio al Vomano, Penna Sant'Andrea, Teramo"
Altre informazioni,Altre informazioni
Cod. postale,64030
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067005
Cod. catastale,A692
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 036 GG[3]"
Nome abitanti,bascianesi
Patrono,"san Flaviano, Patriarca di Costantinopoli e Martire"
Giorno festivo,24 novembre
Cartografia,Cartografia
Basciano,Basciano
Basciano – MappaPosizione del comune di Basciano nella provincia di Teramo,Basciano – MappaPosizione del comune di Basciano nella provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
