Ranzo comune,Ranzo comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Ranzo – VedutaIl municipio,Ranzo – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Giancarlo Cacciò (lista civica Uniti per Ranzo) dal 10-6-2024
Data di istituzione,1947
Territorio,Territorio
Coordinate,44°03′33.91″N 8°00′52.6″E
Altitudine,124 m s.l.m.
Superficie,"10,86 km²"
Abitanti,574[1] (30-11-2025)
Densità,"52,85 ab./km²"
Frazioni,"Bacelega, Costa Bacelega"
Comuni confinanti,"Aquila d'Arroscia, Borghetto d'Arroscia, Casanova Lerrone (SV), Nasino (SV), Onzo (SV)"
Altre informazioni,Altre informazioni
Cod. postale,18020
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008048
Cod. catastale,H180
Targa,IM
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 103 GG[3]"
Nome abitanti,ranzesi
Patrono,san Donato d'Arezzo
Giorno festivo,7 agosto
Cartografia,Cartografia
Ranzo,Ranzo
Ranzo – MappaPosizione del comune di Ranzo nella provincia di Imperia,Ranzo – MappaPosizione del comune di Ranzo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
