Chiusavecchia comune,Chiusavecchia comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Chiusavecchia – VedutaPanorama di Chiusavecchia e, sulla destra, di Borgoratto (Lucinasco)","Chiusavecchia – VedutaPanorama di Chiusavecchia e, sulla destra, di Borgoratto (Lucinasco)"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Luca Vassallo (lista civica Insieme per Chiusavecchia) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861 Dato Istat - Popolazione residente al 30 aprile 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,43°58′04.11″N 7°59′00.15″E
Altitudine,140 m s.l.m.
Superficie,"4,09 km²"
Abitanti,529[1] (30-11-2025)
Densità,"129,34 ab./km²"
Frazioni,"Olivastri, Sarola"
Comuni confinanti,"Chiusanico, Lucinasco, Pontedassio"
Altre informazioni,Altre informazioni
Cod. postale,18027
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008020
Cod. catastale,C660
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 514 GG[3]"
Nome abitanti,chiusavecchiesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Chiusavecchia,Chiusavecchia
Chiusavecchia – MappaPosizione del comune di Chiusavecchia nella provincia di Imperia,Chiusavecchia – MappaPosizione del comune di Chiusavecchia nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
