Dolcedo comune,Dolcedo comune.1
,
"Dolcedo – VedutaCentro storico con l'antica Loggia, oggi Municipio","Dolcedo – VedutaCentro storico con l'antica Loggia, oggi Municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Giuseppe Rebuttato (lista civica Cambiamo Dolcedo) dal 10-6-2024
Territorio,Territorio
Coordinate,43°54′24.8″N 7°57′05.79″E
Altitudine,75 m s.l.m.
Superficie,"19,8 km²"
Abitanti,1 253[1] (30-11-2025)
Densità,"63,28 ab./km²"
Frazioni,"Bellissimi, Castellazzo, Costa, Isolalunga, Lecchiore, Piazza (capoluogo comunale), Ripalta, Trincheri"
Comuni confinanti,"Badalucco, Civezza, Imperia, Montalto Carpasio, Pietrabruna, Prelà, Taggia, Vasia"
Altre informazioni,Altre informazioni
Cod. postale,18020
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008030
Cod. catastale,D319
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 362 GG[3]"
Nome abitanti,dolcedesi
Patrono,san Tommaso Apostolo
Giorno festivo,21 dicembre
Cartografia,Cartografia
Dolcedo,Dolcedo
Dolcedo – MappaPosizione del comune di Dolcedo nella provincia di Imperia,Dolcedo – MappaPosizione del comune di Dolcedo nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
