Cipressa comune,Cipressa comune.1
,
Cipressa – VedutaPanorama di Cipressa,Cipressa – VedutaPanorama di Cipressa
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Imperia
Amministrazione,Amministrazione
Sindaco,Filippo Rinaldo Guasco (lista civica Cipressa riparte) dal 6-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1861 Dato Istat - Popolazione residente al 30 aprile 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,43°51′05.16″N 7°55′49.97″E
Altitudine,240 m s.l.m.
Superficie,"9,39 km²"
Abitanti,1 192[1] (30-11-2025)
Densità,"126,94 ab./km²"
Frazioni,"Aregai, Lingueglietta, Piani di Cipressa"
Comuni confinanti,"Civezza, Costarainera, Pietrabruna, Pompeiana, San Lorenzo al Mare, Santo Stefano al Mare, Terzorio"
Altre informazioni,Altre informazioni
Cod. postale,18017
Prefisso,0183
Fuso orario,UTC+1
Codice ISTAT,008021
Cod. catastale,C718
Targa,IM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 694 GG[3]"
Nome abitanti,cipressini
Patrono,Visitazione della Beata Vergine Maria
Giorno festivo,2 luglio
Cartografia,Cartografia
Cipressa,Cipressa
Cipressa – MappaPosizione del comune di Cipressa nella provincia di Imperia,Cipressa – MappaPosizione del comune di Cipressa nella provincia di Imperia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
