Fonte Nuova comune,Fonte Nuova comune.1
,
Fonte Nuova – Veduta,Fonte Nuova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Umberto Falcioni (FdI) dal 03-06-2025
Data di istituzione,15 ottobre 2001
Territorio,Territorio
Coordinate,42°00′06″N 12°37′19″E
Altitudine,130 m s.l.m.
Superficie,"19,94 km²"
Abitanti,32 770[1] (30-11-2025)
Densità,"1 643,43 ab./km²"
Frazioni,"XII Apostoli, Casa di Loreto I, Casa di Loreto II, Le Molette, Santa Lucia, Tor Lupara (sede comunale)"
Comuni confinanti,"Guidonia Montecelio, Mentana, Monterotondo, Roma, Sant'Angelo Romano"
Altre informazioni,Altre informazioni
Cod. postale,00013
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058122
Cod. catastale,M309
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 561 GG[3]"
Nome abitanti,fontenuovesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Fonte Nuova,Fonte Nuova
Fonte Nuova – MappaPosizione del comune di Fonte Nuova nella città metropolitana di Roma Capitale,Fonte Nuova – MappaPosizione del comune di Fonte Nuova nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
