Pistoia comune,Pistoia comune.1
(dettagli),(dettagli)
Pistoia – VedutaCampanile del Duomo di Pistoia,Pistoia – VedutaCampanile del Duomo di Pistoia
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Anna Maria Celesti (Forza Italia) (Vicesindaco f.f) dal 01-12-2025
Territorio,Territorio
Coordinate,43°56′N 10°55′E
Altitudine,67 m s.l.m.
Superficie,"236,17 km²"
Abitanti,89 083[1] (30-11-2025)
Densità,"377,2 ab./km²"
Frazioni,vedi sezione
Comuni confinanti,"Agliana, Alto Reno Terme (BO), Cantagallo (PO), Lizzano in Belvedere (BO), Marliana, Montale, Quarrata, Sambuca Pistoiese, San Marcello Piteglio, Serravalle Pistoiese"
Altre informazioni,Altre informazioni
Cod. postale,51100
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047014
Cod. catastale,G713
Targa,PT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 885 GG[3]"
Nome abitanti,"pistoiese, pistoiesi[4]; pistorese, pistoresi (antico)[4]"
Patrono,san Jacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Pistoia,Pistoia
Pistoia – MappaPosizione del comune di Pistoia all'interno dell'omonima provincia,Pistoia – MappaPosizione del comune di Pistoia all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
