Bosio comune,Bosio comune.1
,
Bosio – VedutaPanorama del paese,Bosio – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Domenico Merlo (lista civica Tutti insieme per Bosio) dal 9-6-2024
Territorio,Territorio
Coordinate,44°39′03″N 8°47′38″E
Altitudine,358 m s.l.m.
Superficie,"67,61 km²"
Abitanti,1 039[1] (30-11-2025)
Densità,"15,37 ab./km²"
Frazioni,"Capanne di Marcarolo, Costa Santo Stefano, Maietto, Mogreto, Serra, Spessa, Val Pagani, Ponassi"
Comuni confinanti,"Campo Ligure (GE), Campomorone (GE), Casaleggio Boiro, Ceranesi (GE), Gavi, Genova (GE), Lerma, Masone (GE), Mele (GE), Mornese, Parodi Ligure, Rossiglione (GE), Tagliolo Monferrato, Voltaggio"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006022
Cod. catastale,B080
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 783 GG[3]"
Nome abitanti,bosiesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Bosio,Bosio
Bosio – MappaPosizione del comune nella provincia di Alessandria,Bosio – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
