Borgoratto Alessandrino comune,Borgoratto Alessandrino comune.1
,
Borgoratto Alessandrino – Veduta,Borgoratto Alessandrino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Simone Bigotti (lista civica) dal 30-3-2010 (3º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,44°50′14″N 8°32′23″E
Altitudine,105 m s.l.m.
Superficie,"6,6 km²"
Abitanti,535[1] (30-11-2025)
Densità,"81,06 ab./km²"
Comuni confinanti,"Carentino, Castellazzo Bormida, Frascaro, Oviglio"
Altre informazioni,Altre informazioni
Cod. postale,15013
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006019
Cod. catastale,B029
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 567 GG[3]"
Nome abitanti,borgorattesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Borgoratto Alessandrino,Borgoratto Alessandrino
Borgoratto Alessandrino – MappaMappa del comune di Borgoratto Alessandrino all'interno della provincia di Alessandria,Borgoratto Alessandrino – MappaMappa del comune di Borgoratto Alessandrino all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
