Castelnuovo Scrivia comune,Castelnuovo Scrivia comune.1
,
Castelnuovo Scrivia – VedutaPanoramica di piazza Vittorio Emanuele II,Castelnuovo Scrivia – VedutaPanoramica di piazza Vittorio Emanuele II
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianni Tagliani (lista civica) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°58′53″N 8°52′56″E
Altitudine,85 m s.l.m.
Superficie,"45,42 km²"
Abitanti,4 809[1] (30-11-2025)
Densità,"105,88 ab./km²"
Frazioni,"Gerbidi, Ova, Pilastro, Secco"
Comuni confinanti,"Alzano Scrivia, Casei Gerola (PV), Guazzora, Isola Sant'Antonio, Molino dei Torti, Pontecurone, Sale, Tortona"
Altre informazioni,Altre informazioni
Cod. postale,15053
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006053
Cod. catastale,C243
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 606 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Desiderio
Giorno festivo,23 maggio
Cartografia,Cartografia
Castelnuovo Scrivia,Castelnuovo Scrivia
Castelnuovo Scrivia – MappaMappa del comune di Castelnuovo Scrivia all'interno della provincia di Alessandria,Castelnuovo Scrivia – MappaMappa del comune di Castelnuovo Scrivia all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
