Casal Cermelli comune,Casal Cermelli comune.1
,
Casal Cermelli – Veduta,Casal Cermelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Antonella Cermelli (lista civica Il paese che vogliamo) dal 4-10-2021
Territorio,Territorio
Coordinate,44°50′09″N 8°37′34″E
Altitudine,102 m s.l.m.
Superficie,"12,16 km²"
Abitanti,1 184[1] (30-11-2025)
Densità,"97,37 ab./km²"
Frazioni,"Fontanasse, Portanova, Rossina"
Comuni confinanti,"Bosco Marengo, Castellazzo Bormida, Frugarolo, Predosa"
Altre informazioni,Altre informazioni
Cod. postale,15072
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006037
Cod. catastale,B870
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 565 GG[3]"
Nome abitanti,casalcermellesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Casal Cermelli,Casal Cermelli
Casal Cermelli – MappaMappa del Comune di Casal Cermelli all'interno della Provincia di Alessandria,Casal Cermelli – MappaMappa del Comune di Casal Cermelli all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
