Gavorrano comune,Gavorrano comune.1
,
Gavorrano – VedutaPanorama di Gavorrano,Gavorrano – VedutaPanorama di Gavorrano
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Stefania Ulivieri (lista civica di centro-sinistra Gavorrano Progressisti Uniti) dal 15-5-2023
Territorio,Territorio
Coordinate,42°55′30″N 10°54′30″E
Altitudine,273 m s.l.m.
Superficie,"163,98 km²"
Abitanti,8 357[1] (30-11-2025)
Densità,"50,96 ab./km²"
Frazioni,"Bagno di Gavorrano, Caldana, Castellaccia, Filare, Giuncarico, Grilli, Potassa, Ravi"
Comuni confinanti,"Castiglione della Pescaia, Grosseto, Massa Marittima, Roccastrada, Scarlino"
Altre informazioni,Altre informazioni
Cod. postale,58023
Prefisso,0566
Fuso orario,UTC+1
Codice ISTAT,053010
Cod. catastale,D948
Targa,GR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 748 GG[3]"
Nome abitanti,gavorranesi[4]
Patrono,san Giuliano
Giorno festivo,28 agosto
Cartografia,Cartografia
Gavorrano,Gavorrano
Gavorrano – MappaPosizione del comune di Gavorrano all'interno della provincia di Grosseto,Gavorrano – MappaPosizione del comune di Gavorrano all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
