Arcidosso comune,Arcidosso comune.1
,
Arcidosso – VedutaIl borgo con il Monte Amiata sullo sfondo,Arcidosso – VedutaIl borgo con il Monte Amiata sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Grosseto
Amministrazione,Amministrazione
Sindaco,Jacopo Marini (centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,42°52′20″N 11°32′15″E
Altitudine,679 m s.l.m.
Superficie,"93,26 km²"
Abitanti,4 333[1] (30-11-2025)
Densità,"46,46 ab./km²"
Frazioni,"Bagnoli, Montelaterone, Salaiola, San Lorenzo, Stribugliano, Zancona[2]"
Comuni confinanti,"Campagnatico, Castel del Piano, Cinigiano, Roccalbegna, Santa Fiora"
Altre informazioni,Altre informazioni
Cod. postale,58031
Prefisso,0564
Fuso orario,UTC+1
Codice ISTAT,053001
Cod. catastale,A369
Targa,GR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 258 GG[4]"
Nome abitanti,arcidossini[5]
Patrono,san Niccolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Arcidosso,Arcidosso
Arcidosso – MappaPosizione del comune di Arcidosso all'interno della provincia di Grosseto,Arcidosso – MappaPosizione del comune di Arcidosso all'interno della provincia di Grosseto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
