Curti comune,Curti comune.1
,
Curti – Veduta,Curti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Raiano (lista civica Legalità e Trasparenza) dal 22-4-2016 (3º mandato dal 18-6-2024)
Data di istituzione,1806
Territorio,Territorio
Coordinate,41°04′34.18″N 14°16′49.4″E
Altitudine,40 m s.l.m.
Superficie,"1,69 km²"
Abitanti,6 620[1] (30-11-2025)
Densità,"3 917,16 ab./km²"
Comuni confinanti,"Casapulla, Macerata Campania, San Prisco, Santa Maria Capua Vetere"
Altre informazioni,Altre informazioni
Cod. postale,81040
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061032
Cod. catastale,D228
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 911 GG[3]"
Nome abitanti,curtesi
Patrono,san Rocco e san Michele
Giorno festivo,14 e 15 settembre
Cartografia,Cartografia
Curti,Curti
Curti – MappaPosizione del comune di Curti nella provincia di Caserta,Curti – MappaPosizione del comune di Curti nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
