Portico di Caserta comune,Portico di Caserta comune.1
,
Portico di Caserta – VedutaPiazza Rimembranza,Portico di Caserta – VedutaPiazza Rimembranza
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Lucia Chiara Buonocore (Commissario Prefettizio) dal 31-12-2025
Data di istituzione,1806
Territorio,Territorio
Coordinate,41°03′N 14°17′E
Altitudine,31 m s.l.m.
Superficie,"1,91 km²"
Abitanti,7 734[1] (30-11-2025)
Densità,"4 049,21 ab./km²"
Frazioni,Musicile
Comuni confinanti,"Macerata Campania, Santa Maria Capua Vetere, Recale, Capodrise, Marcianise"
Altre informazioni,Altre informazioni
Cod. postale,81050
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061062
Cod. catastale,G903
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 127 GG[3]"
Nome abitanti,Portichesi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Portico di Caserta,Portico di Caserta
Portico di Caserta – MappaPosizione del comune di Portico di Caserta nella provincia di Caserta,Portico di Caserta – MappaPosizione del comune di Portico di Caserta nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
