Macerata Campania comune,Macerata Campania comune.1
,
Macerata Campania – Vedutala chiesa Abbaziale di S. Martino Vescovo,Macerata Campania – Vedutala chiesa Abbaziale di S. Martino Vescovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Giovanni Battista Di Matteo (lista civica Rinascita) dal 10-06-2024
Territorio,Territorio
Coordinate,41°04′N 14°16′E
Altitudine,34 m s.l.m.
Superficie,"7,63 km²"
Abitanti,10 071[1] (30-11-2025)
Densità,"1 319,92 ab./km²"
Frazioni,"Casalba, Caturano"
Comuni confinanti,"Casagiove, Casapulla, Curti, Marcianise, Portico di Caserta, Recale, Santa Maria Capua Vetere"
Altre informazioni,Altre informazioni
Cod. postale,81047
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061047
Cod. catastale,E784
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 109 GG[3]"
Nome abitanti,maceratesi
Patrono,san Martino vescovo di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Macerata Campania,Macerata Campania
Macerata Campania – MappaPosizione del comune di Macerata Campania nella provincia di Caserta,Macerata Campania – MappaPosizione del comune di Macerata Campania nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
