Poggio San Marcello comune,Poggio San Marcello comune.1
,
Poggio San Marcello – Veduta,Poggio San Marcello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Fabrizio Chiappa (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,43°30′41.69″N 13°04′37.92″E
Altitudine,385 m s.l.m.
Superficie,"13,36 km²"
Abitanti,685[1] (30-11-2025)
Densità,"51,27 ab./km²"
Frazioni,"Coste, Gioncare, Fornaci, Fossato"
Comuni confinanti,"Belvedere Ostrense, Castelplanio, Montecarotto, Rosora"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042037
Cod. catastale,G771
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 196 GG[3]"
Nome abitanti,poggiani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Poggio San Marcello,Poggio San Marcello
Poggio San Marcello – MappaPosizione del comune di Poggio San Marcello nella provincia di Ancona,Poggio San Marcello – MappaPosizione del comune di Poggio San Marcello nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
