Chiaravalle comune,Chiaravalle comune.1
,
Chiaravalle – Veduta,Chiaravalle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Cristina Amicucci (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,43°35′58.81″N 13°19′32.45″E
Altitudine,22 m s.l.m.
Superficie,"17,6 km²"
Abitanti,14 196[1] (30-11-2025)
Densità,"806,59 ab./km²"
Frazioni,Grancetta
Comuni confinanti,"Camerata Picena, Falconara Marittima, Jesi, Monte San Vito, Montemarciano"
Altre informazioni,Altre informazioni
Cod. postale,60033
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042014
Cod. catastale,C615
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 823 GG[3]"
Nome abitanti,chiaravallesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Chiaravalle,Chiaravalle
Chiaravalle – MappaPosizione del comune di Chiaravalle nella provincia di Ancona,Chiaravalle – MappaPosizione del comune di Chiaravalle nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
