Erto e Casso comune,Erto e Casso comune.1
,
Erto e Casso – VedutaCasso sopra la diga del Vajont,Erto e Casso – VedutaCasso sopra la diga del Vajont
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Antonio Carrara (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,46°16′27.94″N 12°22′19.52″E
Altitudine,775 m s.l.m.
Superficie,"52,43 km²"
Abitanti,357[1] (30-11-2025)
Densità,"6,81 ab./km²"
Frazioni,"Casso, Erto (sede comunale) Località: Forcai, Pineda, San Martino, Val da Pont[2]"
Comuni confinanti,"Alpago (BL), Cimolais, Claut, Longarone (BL), Ospitale di Cadore (BL), Perarolo di Cadore (BL), Soverzene (BL)"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093019
Cod. catastale,D426
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 757 GG[4]"
Nome abitanti,"ertani, cassani"
Patrono,"san Bartolomeo, santi Gervasio e Protasio"
Cartografia,Cartografia
Erto e Casso,Erto e Casso
Erto e Casso – MappaPosizione del comune di Erto e Casso nella ex provincia di Pordenone,Erto e Casso – MappaPosizione del comune di Erto e Casso nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
