Fontanafredda comune,Fontanafredda comune.1
(IT) Fontanafredda (FUR) Fontanefrede[1],(IT) Fontanafredda (FUR) Fontanefrede[1]
,
Fontanafredda – Veduta,Fontanafredda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Michele Pegolo (centro-destra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°58′N 12°34′E
Altitudine,52 m s.l.m.
Superficie,"46,4 km²"
Abitanti,12 932[2] (30-11-2025)
Densità,"278,71 ab./km²"
Frazioni,"Camolli, Casut, Ceolini, Nave, Ranzano, Romano, Ronche, Talmasson, Vigonovo (sede comunale), Villadolt"
Comuni confinanti,"Aviano, Brugnera, Budoia, Caneva, Polcenigo, Porcia, Roveredo in Piano, Sacile"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33074
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093022
Cod. catastale,D670
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 367 GG[4]"
Nome abitanti,fontanafreddesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Fontanafredda,Fontanafredda
Fontanafredda – MappaPosizione del comune di Fontanafredda nella ex provincia di Pordenone,Fontanafredda – MappaPosizione del comune di Fontanafredda nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
