Sacile comune,Sacile comune.1
,
Sacile – VedutaIl Livenza e il campanile del Duomo a Sacile,Sacile – VedutaIl Livenza e il campanile del Duomo a Sacile
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Carlo Spagnol (Forza Italia) dal 14-5-2018
Territorio,Territorio
Coordinate,45°57′14.83″N 12°30′09.86″E
Altitudine,25 m s.l.m.
Superficie,"32,74 km²"
Abitanti,19 934[1] (30-11-2025)
Densità,"608,86 ab./km²"
Frazioni,"Cavolano, Cornadella, Ronche, San Giovanni del Tempio, San Giovanni di Livenza, San Liberale, San Michele, San Odorico, Schiavoi, Topaligo, Vistorta"
Comuni confinanti,"Brugnera, Caneva, Cordignano (TV), Fontanafredda, Gaiarine (TV)"
Altre informazioni,Altre informazioni
Cod. postale,33077
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093037
Cod. catastale,H657
Targa,PN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 461 GG[3]"
Nome abitanti,sacilesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sacile,Sacile
Sacile – MappaPosizione del comune di Sacile nella provincia di Pordenone,Sacile – MappaPosizione del comune di Sacile nella provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
