Vivaro comune,Vivaro comune.1
(IT) Vivaro (FUR) Vivâr [1],(IT) Vivaro (FUR) Vivâr [1]
,
Vivaro – VedutaLa chiesa parrocchiale e il campanile,Vivaro – VedutaLa chiesa parrocchiale e il campanile
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Mauro Candido (lista civica) dall'8-6-2009 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,46°04′35.62″N 12°46′44.83″E
Altitudine,138 m s.l.m.
Superficie,"37,68 km²"
Abitanti,1 351[2] (30-11-2025)
Densità,"35,85 ab./km²"
Frazioni,"Basaldella, Tesis"
Comuni confinanti,"Arba, Cordenons, Maniago, San Giorgio della Richinvelda, San Quirino, Spilimbergo"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33099
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093050
Cod. catastale,M096
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 597 GG[4]"
Nome abitanti,vivarini
Patrono,santa Maria Assunta e san Giovanni
Giorno festivo,"24 giugno, 15 agosto"
Cartografia,Cartografia
Vivaro,Vivaro
Vivaro – MappaPosizione del comune di Vivaro nella ex provincia di Pordenone,Vivaro – MappaPosizione del comune di Vivaro nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
