Motta de' Conti comune,Motta de' Conti comune.1
,
Motta de' Conti – Veduta,Motta de' Conti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Emanuela Quirci (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°11′36.03″N 8°31′15.36″E
Altitudine,107 m s.l.m.
Superficie,"11,72 km²"
Abitanti,706[1] (30-11-2025)
Densità,"60,24 ab./km²"
Frazioni,Mantie
Comuni confinanti,"Candia Lomellina (PV), Caresana, Casale Monferrato (AL), Langosco (PV), Villanova Monferrato (AL)"
Altre informazioni,Altre informazioni
Cod. postale,13010
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002082
Cod. catastale,F774
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 804 GG[3]"
Nome abitanti,mottesi
Patrono,santissima Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Motta de' Conti,Motta de' Conti
Motta de' Conti – MappaMappa del comune di Motta De' Conti all'interno della provincia di Vercelli,Motta de' Conti – MappaMappa del comune di Motta De' Conti all'interno della provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
