Alto Sermenza comune,Alto Sermenza comune.1
"Alto Sermenza – VedutaPanorama della frazione Rimasco, sede comunale, con il lago","Alto Sermenza – VedutaPanorama della frazione Rimasco, sede comunale, con il lago"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Capoluogo,Rimasco
Sindaco,Roberto Sacchi (lista civica)
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate del capoluogo,45°52′59.99″N 8°00′00″E
Altitudine,906 m s.l.m.
Superficie,"60,33 km²"
Abitanti,131[1] (30-11-2025)
Densità,"2,17 ab./km²"
Frazioni,"Rima, Rimasco"
Comuni confinanti,"Alagna Valsesia, Boccioleto, Carcoforo, Fobello, Macugnaga (VB), Mollia, Rossa"
Altre informazioni,Altre informazioni
Lingue,"Italiano, walser[2]"
Cod. postale,13029
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,002170
Cod. catastale,M389
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Rimasco,Rimasco
Alto Sermenza – MappaPosizione del comune di Alto Sermenza nella provincia di Vercelli,Alto Sermenza – MappaPosizione del comune di Alto Sermenza nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
