Cigliano comune,Cigliano comune.1
,
Cigliano – VedutaTorre campanaria,Cigliano – VedutaTorre campanaria
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Vercelli
Amministrazione,Amministrazione
Sindaco,Diego Marchetti (lista civica RinnoviAMO Cigliano) dal 26-5-2019
Territorio,Territorio
Coordinate,45°18′30.08″N 8°01′15.69″E
Altitudine,237 m s.l.m.
Superficie,"25,31 km²"
Abitanti,4 291[1] (30-11-2025)
Densità,"169,54 ab./km²"
Frazioni,"Lotti, Olmetto, Petiva, Ronchi"
Comuni confinanti,"Livorno Ferraris, Mazzè (TO), Moncrivello, Rondissone (TO), Saluggia, Villareggia (TO)"
Altre informazioni,Altre informazioni
Cod. postale,13043
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,002042
Cod. catastale,C680
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,ciglianesi
Patrono,sant'Emiliano
Giorno festivo,10 settembre
Cartografia,Cartografia
Cigliano,Cigliano
Cigliano – MappaPosizione del comune di Cigliano nella provincia di Vercelli,Cigliano – MappaPosizione del comune di Cigliano nella provincia di Vercelli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
