Solesino comune,Solesino comune.1
,
"Solesino – VedutaSolesino: vista di Via 28 aprile con il Palazzo comunale, sulla sinistra, e la chiesa arcipretale di Santa Maria Assunta, sulla destra.","Solesino – VedutaSolesino: vista di Via 28 aprile con il Palazzo comunale, sulla sinistra, e la chiesa arcipretale di Santa Maria Assunta, sulla destra."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Elvy Bentani (lista civica di centro-destra Insieme per Solesino) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°10′30.98″N 11°45′03.99″E
Altitudine,10 m s.l.m.
Superficie,"10,14 km²"
Abitanti,6 713[1] (30-11-2025)
Densità,"662,03 ab./km²"
Frazioni,"Arteselle, Motte[2]"
Comuni confinanti,"Granze, Monselice, Pozzonovo, Sant'Elena, Stanghella"
Altre informazioni,Altre informazioni
Cod. postale,35047
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028087
Cod. catastale,I799
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,solesinesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Solesino,Solesino
Solesino – MappaPosizione del comune di Solesino all'interno della provincia di Padova in Veneto.,Solesino – MappaPosizione del comune di Solesino all'interno della provincia di Padova in Veneto.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
