Vo' comune,Vo' comune.1
,
Vo' – VedutaVo' con il monte Lozzo sullo sfondo,Vo' – VedutaVo' con il monte Lozzo sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Mauro Delluniversità (lista civica Vo' C'è) dal 10-6-2024
Territorio,Territorio
Coordinate,45°20′N 11°38′E
Altitudine,19 m s.l.m.
Superficie,"20,37 km²"
Abitanti,3 215[1] (30-11-2025)
Densità,"157,83 ab./km²"
Frazioni,"Boccon, Cortelà, Vo' Vecchio, Zovon"
Comuni confinanti,"Agugliaro (VI), Albettone (VI), Cinto Euganeo, Galzignano Terme, Lozzo Atestino, Rovolon, Teolo"
Altre informazioni,Altre informazioni
Cod. postale,35030
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028105
Cod. catastale,M103
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,vadensi
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Vo',Vo'
Vo' – MappaPosizione del comune di Vo' all'interno della provincia di Padova,Vo' – MappaPosizione del comune di Vo' all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
