Cittadella comune,Cittadella comune.1
,
Cittadella – Veduta,Cittadella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Luca Pierobon (LSP/LV - centro-destra) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°38′55″N 11°47′01″E
Altitudine,48 m s.l.m.
Superficie,"36,68 km²"
Abitanti,20 034[1] (30-11-2025)
Densità,"546,18 ab./km²"
Frazioni,"Ca' Onorai, Facca, Laghi, Pozzetto, Santa Croce Bigolina, San Donato, Santa Maria"
Comuni confinanti,"Carmignano di Brenta, Fontaniva, Galliera Veneta, Pozzoleone (VI), Rossano Veneto (VI), San Giorgio in Bosco, Tezze sul Brenta (VI), Tombolo"
Altre informazioni,Altre informazioni
Cod. postale,35013
Prefisso,049
Fuso orario,UTC+1
Codice ISTAT,028032
Cod. catastale,C743
Targa,PD
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 386 GG[3]"
Nome abitanti,cittadellesi
Patrono,san Prosdocimo e san Donato
Giorno festivo,lunedì successivo alla quarta domenica di ottobre
Cartografia,Cartografia
Cittadella,Cittadella
Cittadella – MappaPosizione del comune di Cittadella all'interno della provincia di Padova,Cittadella – MappaPosizione del comune di Cittadella all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
