Villa Estense comune,Villa Estense comune.1
,
Villa Estense – VedutaLa Chiesa parrocchiale dei Santi Andrea Apostolo e Colomba,Villa Estense – VedutaLa Chiesa parrocchiale dei Santi Andrea Apostolo e Colomba
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Padova
Amministrazione,Amministrazione
Sindaco,Davide Salvan (lista civica Villa Estense Bene Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,45°10′N 11°40′E
Altitudine,10 m s.l.m.
Superficie,"16,01 km²"
Abitanti,2 025[1] (30-11-2025)
Densità,"126,48 ab./km²"
Frazioni,"Finale, Grompa, Pilastro"
Comuni confinanti,"Este, Granze, Sant'Elena, Sant'Urbano, Santa Caterina d'Este, Vescovana"
Altre informazioni,Altre informazioni
Cod. postale,35040
Prefisso,0429
Fuso orario,UTC+1
Codice ISTAT,028102
Cod. catastale,L937
Targa,PD
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 436 GG[3]"
Nome abitanti,villensi
Patrono,Santa Colomba e sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Villa Estense,Villa Estense
Villa Estense – MappaPosizione del comune di Villa Estense all'interno della provincia di Padova,Villa Estense – MappaPosizione del comune di Villa Estense all'interno della provincia di Padova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
