Modena comune,Modena comune.1
(dettagli),(dettagli)
Modena – VedutaIl Duomo e la Ghirlandina,Modena – VedutaIl Duomo e la Ghirlandina
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Massimo Mezzetti (indipendente di centro-sinistra) dal 12-6-2024
Territorio,Territorio
Coordinate,44°38′44.95″N 10°55′32.59″E
Altitudine,34 m s.l.m.
Superficie,"183,19 km²"
Abitanti,184 349[1] (30-11-2025)
Densità,"1 006,33 ab./km²"
Frazioni,vedi quartieri e frazioni di Modena
Comuni confinanti,"Bastiglia, Bomporto, Campogalliano, Carpi, Casalgrande (RE), Castelfranco Emilia, Castelnuovo Rangone, Formigine, Nonantola, Rubiera (RE), San Cesario sul Panaro, Soliera, Spilamberto"
Altre informazioni,Altre informazioni
Cod. postale,41121–41126
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036023
Cod. catastale,F257
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 258 GG[3]"
Nome abitanti,"modenesi, geminiani"
Patrono,san Geminiano
Giorno festivo,31 gennaio
Motto,Avia Pervia
Cartografia,Cartografia
Modena,Modena
Modena – MappaPosizione del comune di Modena all'interno dell'omonima provincia,Modena – MappaPosizione del comune di Modena all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
