Sestola comune,Sestola comune.1
,
Sestola – Veduta,Sestola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Fabio Magnani (lista civica Democrazia progresso solidarietà) dal 4-10-2021
Territorio,Territorio
Coordinate,44°14′N 10°46′E
Altitudine,1 020 m s.l.m.
Superficie,"52,47 km²"
Abitanti,2 404[1] (30-11-2025)
Densità,"45,82 ab./km²"
Frazioni,"Casine, Castellaro, Poggioraso, Rocchetta Sandri, Roncoscaglia, Vesale, Pian del Falco, Passo Del Lupo"
Comuni confinanti,"Fanano, Fiumalbo, Lizzano in Belvedere (BO), Montecreto, Montese, Pavullo nel Frignano, Riolunato"
Altre informazioni,Altre informazioni
Cod. postale,41029
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036043
Cod. catastale,I689
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 419 GG[3]"
Nome abitanti,sestolesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sestola,Sestola
Sestola – MappaPosizione del comune di Sestola all'interno della provincia di Modena,Sestola – MappaPosizione del comune di Sestola all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
