Nonantola comune,Nonantola comune.1
,
Nonantola – Veduta,Nonantola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Tiziana Baccolini (PD - lista civica Nonantola attiva) dal 27-6-2024
Territorio,Territorio
Coordinate,44°40′39.62″N 11°02′34.83″E
Altitudine,20 m s.l.m.
Superficie,"55,32 km²"
Abitanti,16 200[1] (30-11-2025)
Densità,"292,84 ab./km²"
Frazioni,"Bagazzano, Campazzo, Casette, La Grande, Redù, Rubbiara, Via Larga"
Comuni confinanti,"Bomporto, Castelfranco Emilia, Crevalcore (BO), Modena, Ravarino, Sant'Agata Bolognese (BO)"
Altre informazioni,Altre informazioni
Cod. postale,41015
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036027
Cod. catastale,F930
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,nonantolani
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Nonantola,Nonantola
Nonantola – MappaPosizione del comune di Nonantola all'interno della provincia di Modena,Nonantola – MappaPosizione del comune di Nonantola all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
